dm_436fd308	WCI	POG2564040026	คุณธนกาญจน์ คอลลินส์	Active			2021-09-01				5000000	0.1	THB	2021-09-01		5000000					9 เดือน
dm_c8dca21f	WCI	POG2564040028	คุณสัญชญา รัตนะกนก	Close			2021-09-06				6000000	0.1	THB	2021-09-06		6000000					9 เดือน
dm_42546ef5	WCI	POG2564040030	คุณฐิติยา วงศ์จิรชัย	Active			2021-09-20				5000000	0.1	THB	2021-09-20		5000000					9 เดือน
dm_421c1630	WCI	POG2564040032	คุณภารวี วงศ์จิรชัย	Active			2021-09-20				5000000	0.1	THB	2021-09-20		5000000					9 เดือน
dm_4745930a	WCI	POG2564040034	คุณวิเทพ จงจิระเจริญ	Active			2021-10-11				1500000	0.1	THB	2021-10-11		1500000					9 เดือน
dm_e3a3eba3	WCI	POG2564040036	คุณธนกาญจน์ คอลลินส์ 2	Active			2021-11-03				2000000	0.1	THB	2021-11-03		2000000					9 เดือน
dm_9db11250	WCI	POG2564040038	คุณพงษ์ชัย ชัญมาตรกิจ 3	Active			2021-12-01				3000000	0.1	THB	2021-12-01		3000000					9 เดือน
dm_aa1b9b1d	WCI	POG2564040040	คุณนรวดี ศรีกาญจนา	Close			2021-12-24				7000000	0.1	THB	2021-12-24		7000000					9 เดือน
dm_adb537bb	WCI	POG2564040042	คุณนริสา เนื่องสิทธิ์	Close			2022-02-14				5000000	0.1	THB	2022-02-14		5000000					9 เดือน
dm_bdfa19fe	WCI	POG2564040048	คุณณิฌา หาญฤทธิรงค์	Active			2022-06-16				1000000	0.1	THB	2022-06-16		1000000					9 เดือน
dm_bfbc3df8	WCI	POG2564040046	คุณแววคนีย์ อัสโสรัตน์กุล 3	Active			2022-06-17				2000000	0.1	THB	2022-06-17		2000000					9 เดือน
dm_76cb36e5	WCI	POG2564040050	คุณกฤษฎา ตติยกวี	Active			2022-07-01				3000000	0.1	THB	2022-07-01		3000000					9 เดือน
dm_76a76b8b	WCI	POG2564040052	คุณพงษ์ชัย ชัญมาตรกิจ 4	Active			2022-07-05				2000000	0.1	THB	2022-07-05		2000000					9 เดือน
dm_e4743db3	WCI	WCI-44.คุณอนิวรรต(ปิด)	คุณอนิวรรต ศรีรุ่งธรรม	Close			2022-07-05				26000000	0.1	THB	2022-07-05		26000000					6 เดือน
dm_969345f8	WCI	POG2564040054	คุณอรณี วงษ์กรวรเวช	Active			2022-07-20				1000000	0.1	THB	2022-07-20		1000000					9 เดือน
dm_58f8facf	WCI	POG2564040056	คุณปฐม สุมิตรัชตานน	Active			2022-07-25				12500000	0.1	THB	2022-07-25		12500000					9 เดือน
dm_7b80c216	WCI	POG2564040058	คุณกิตติศักดิ์ รุ่งธนเกียรติ	Close			2022-08-08				3000000	0.1	THB	2022-08-08		3000000					9 เดือน
dm_4be82445	WCI	POG2564040038	คุณพัทธนันท์ ชัญมาตรกิจ	Active			2022-09-01				3000000	0.1	THB	2022-09-01		3000000					9 เดือน
dm_93561e47	WCI	POG2564040060	คุณธเนศ ลีลาภรณ์	Close			2022-09-08				3000000	0.1	THB	2022-09-08		3000000					9 เดือน
dm_f1d21249	WCI	POG2564040064	คุณอังศุมาลี สนิทวงศ์ ณ อยุธยา	Active			2022-10-07				5000000	0.1	THB	2022-10-07		5000000					9 เดือน
dm_10d0e081	WCI	POG2564040066	คุณพัทธนัน ชัญมาตรกิจ	Active			2022-10-21				2000000	0.1	THB	2022-10-21		2000000					9 เดือน
dm_6c42f683	WCI	POG2564040070	คุณพีรพงษ์ จวนรมณีย์	Active			2022-11-25				2000000	0.1	THB	2022-11-25		2000000					9 เดือน
dm_f3a64981	WCI	POG2564040098	บจ.เคเค พาร์ท แอนด์ โค้ท	Active			2022-12-02				7000000	0.1	THB	2022-12-02		7000000					9 เดือน
dm_ee7f4ea8	WCI	POG2564040076	คุณธาตรี มะโนทัย	Active			2022-12-14				1000000	0.1	THB	2022-12-14		1000000					9 เดือน
dm_849c46e1	WCI	POG2564040068	คุณพัทธนัน ชัญมาตรกิจ	Active			2022-12-23				2000000	0.1	THB	2022-12-23		2000000					9 เดือน
dm_2a907e1a	WCI	POG2564040078	คุณสรณ์คมน์ ทิพย์สุวรรณ	Active			2022-12-29				3000000	0.1	THB	2022-12-29		3000000					9 เดือน
dm_c2e051e1	WCI	POG2564040080	บจ.แอคชัวเรียลบิซ	Close			2022-12-30				5000000	0.1	THB	2022-12-30		5000000					9 เดือน
dm_fc798dc6	WCI	POG2564040082	คุณธเนศ ลีลาภรณ์	Close			2023-01-16				7000000	0.1	THB	2023-01-16		7000000					6 เดือน
dm_72abc038	WCI	POG2564040084	คุณพงศธร จันผ่อง	Active			2023-02-01				1000000	0.1	THB	2023-02-01		1000000					9 เดือน
dm_9ae72223	WCI	POG2564040086	คุณวศิน จิระจงเจริญ	Active			2023-02-14				2000000	0.1	THB	2023-02-14		2000000					9 เดือน
dm_22217d51	WCI	POG2564040088	คุณวิเทพ จงจิระเจริญ	Active			2023-02-14				1000000	0.1	THB	2023-02-14		1000000					9 เดือน
dm_a3d26e42	WCI	WCI-62.คุณพิเชฐ(ปิด)	คุณพิเชฐ เจียรมมณี	Close			2023-03-01				25000000	10000000	THB	2023-03-01		25000000					
